Time;PDCP DL bitrate;1. best RSRP;NR-ARFCN;PCI;BI;BT;Band;Band (MHz);NR PCI Beam index;_oid;Height;RSRP
09:19,7;446,736;-95,90000153;2071387;231;6;Detected beam;n257;26500;231_6;231006;69;-95,90000153
09:20,2;740,112;-97;2076571;234;6;Detected beam;n257;26500;234_6;234006;69;-97
09:20,7;936,384;-96,19999695;2071387;231;7;Serving beam;n257;26500;231_7;231007;69;-96,19999695
09:21,2;808,344;-94,40000153;2071387;231;7;Serving beam;n257;26500;231_7;231007;69;-94,40000153
09:21,7;769,632;-93,90000153;2071387;231;7;Detected beam;n257;26500;231_7;231007;68;-93,90000153
09:22,2;910,68;-94;2071387;231;7;Serving beam;n257;26500;231_7;231007;68;-94
09:22,7;1677,264;-92,09999847;2071387;231;7;Serving beam;n257;26500;231_7;231007;68;-92,09999847
09:23,2;1653,84;-88,40000153;2071387;231;7;Serving beam;n257;26500;231_7;231007;68;-88,40000153
09:23,7;1665,72;-87,30000305;2071387;231;7;Serving beam;n257;26500;231_7;231007;68;-87,30000305
09:24,2;1786,176;-87,40000153;2071387;231;7;Serving beam;n257;26500;231_7;231007;68;-87,40000153
09:24,7;1588,536;-87,09999847;2071387;231;12;Detected beam;n257;26500;231_12;231012;68;-87,09999847
09:25,2;885,336;-86,90000153;2071387;231;12;Serving beam;n257;26500;231_12;231012;68;-86,90000153
09:25,7;627,744;-91,09999847;2071387;231;12;Serving beam;n257;26500;231_12;231012;68;-91,09999847
09:26,2;644,136;-94,59999847;2071387;231;12;Serving beam;n257;26500;231_12;231012;68;-94,59999847
09:26,7;614,496;-95,59999847;2073115;232;7;Detected beam;n257;26500;232_7;232007;68;-95,59999847
09:27,2;579,72;-95,80000305;2071387;231;12;Serving beam;n257;26500;231_12;231012;68;-95,80000305
09:27,7;922,152;-96,40000153;2071387;231;12;Serving beam;n257;26500;231_12;231012;68;-96,40000153
09:28,2;573,576;-95,30000305;2071387;231;12;Serving beam;n257;26500;231_12;231012;68;-95,30000305
09:28,7;683,52;-96,5;2071387;231;12;Detected beam;n257;26500;231_12;231012;68;-96,5
09:29,2;720,768;-97,90000153;2071387;231;12;Detected beam;n257;26500;231_12;231012;68;-97,90000153
09:29,7;791,784;-97;2071387;231;14;Detected beam;n257;26500;231_14;231014;68;-97
09:30,2;1267,944;-95;2071387;231;13;Serving beam;n257;26500;231_13;231013;68;-95
09:30,7;899,28;-93,09999847;2071387;231;13;Serving beam;n257;26500;231_13;231013;68;-93,09999847
09:31,2;1504,982;-92,59999847;2071387;231;13;Detected beam;n257;26500;231_13;231013;68;-92,59999847
09:31,7;1455,48;-89,59999847;2071387;231;13;Serving beam;n257;26500;231_13;231013;68;-89,59999847
09:32,2;866,976;-90;2071387;231;14;Detected beam;n257;26500;231_14;231014;68;-90
