Time;PDCP DL bitrate;1. best RSRP;NR-ARFCN;PCI;BI;BT;Band;Band (MHz);NR PCI Beam index;_oid;Height;RSRP
41:26,8;1824,554;-88,80000305;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-88,80000305
41:27,3;1870,248;-89,30000305;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-89,30000305
41:27,8;1918,512;-90,40000153;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-90,40000153
41:28,3;1668,797;-91;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-91
41:28,8;1458,337;-91,5;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-91,5
41:29,3;1310,376;-92,69999695;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-92,69999695
41:29,8;1358,905;-94,09999847;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-94,09999847
41:30,3;1487,352;-94,59999847;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-94,59999847
41:30,8;1289,352;-95,40000153;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-95,40000153
41:31,3;1429,704;-95,5;2258011;621;6;Serving beam;n260;37000;621_6;621006;72;-95,5
41:31,8;1516,656;-94,30000305;2258011;621;6;Serving beam;n260;37000;621_6;621006;72;-94,30000305
41:32,3;1804,68;-93,90000153;2258011;621;6;Serving beam;n260;37000;621_6;621006;72;-93,90000153
41:32,8;1266,144;-93,69999695;2258011;621;6;Serving beam;n260;37000;621_6;621006;72;-93,69999695
41:33,3;2010,72;-93,09999847;2258011;621;6;Serving beam;n260;37000;621_6;621006;72;-93,09999847
41:33,8;1305,672;-91,59999847;2258011;621;6;Serving beam;n260;37000;621_6;621006;72;-91,59999847
41:34,3;581,952;-94,30000305;2258011;621;6;Serving beam;n260;37000;621_6;621006;72;-94,30000305
41:34,8;475,104;-97,19999695;2263195;624;6;Detected beam;n260;37000;624_6;624006;72;-97,19999695
41:35,3;158,976;-97,09999847;2263195;624;6;Detected beam;n260;37000;624_6;624006;73;-97,09999847
41:35,8;129,216;-97,09999847;2263195;624;6;Detected beam;n260;37000;624_6;624006;73;-97,09999847
41:36,3;111,432;-97,90000153;2263195;624;6;Detected beam;n260;37000;624_6;624006;73;-97,90000153
41:36,8;151,152;-102;2263195;624;6;Detected beam;n260;37000;624_6;624006;73;-102
41:37,3;155,04;-108;2261467;623;6;Detected beam;n260;37000;623_6;623006;73;-108
41:37,8;120,744;-111,8000031;2261467;623;6;Detected beam;n260;37000;623_6;623006;73;-111,8000031
41:38,3;62,04;-112,9000015;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-112,9000015
41:38,8;16,464;-114,5999985;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-114,5999985
41:39,1;;-114,5999985;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-114,5999985
41:39,8;0;-114,8000031;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-114,8000031
41:40,8;0;-121,4000015;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-121,4000015
41:41,3;;-119,6999969;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-119,6999969
41:41,8;0;-118;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-118
41:42,8;0;-110,0999985;2258011;621;6;Serving beam;n260;37000;621_6;621006;72;-110,0999985
41:43,8;0;-101,9000015;2258011;621;6;Serving beam;n260;37000;621_6;621006;72;-101,9000015
41:44,8;0;-106,8000031;2258011;621;6;Serving beam;n260;37000;621_6;621006;72;-106,8000031
41:45,3;48,624;-108,5;2258011;621;6;Serving beam;n260;37000;621_6;621006;72;-108,5
41:45,8;119,016;-109,5999985;2258011;621;6;Serving beam;n260;37000;621_6;621006;72;-109,5999985
41:46,3;113,664;-111,9000015;2258011;621;6;Serving beam;n260;37000;621_6;621006;72;-111,9000015
41:46,8;140,664;-113,4000015;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-113,4000015
41:47,3;202,944;-113;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-113
41:47,8;241,676;-111,9000015;2258011;621;5;Detected beam;n260;37000;621_5;621005;73;-111,9000015
41:48,3;357,899;-110,3000031;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-110,3000031
41:48,8;424,305;-109;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-109
41:49,3;238,86;-107,9000015;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-107,9000015
41:49,8;80,24;-108,4000015;2258011;621;5;Serving beam;n260;37000;621_5;621005;72;-108,4000015
41:50,3;5,628;-108,6999969;2258011;621;5;Serving beam;n260;37000;621_5;621005;72;-108,6999969
41:50,3;;-108,6999969;2258011;621;5;Serving beam;n260;37000;621_5;621005;72;-108,6999969
41:51,3;0;-108,4000015;2258011;621;5;Serving beam;n260;37000;621_5;621005;72;-108,4000015
